"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","AMMv11.2 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","STKProfessionalv11.2 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","COVv11.2 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","CATv11.2 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","AnalysisWBv11.2 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","Commv11.2 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","Radarv11.2 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","ASTGv11.2 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","SatProv11.2 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","STKIntegrationv11.2 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,12/06/2017 20:46:17,"ACEDESK3","sjones","SEETv11.2 - 0 day remaining until license expires."
1,"MsgWnd",0,"",0,12/06/2017 20:46:19,"ACEDESK3","sjones","STK MATLAB Interface:  Loaded API at C:\Program Files\MATLAB\R2016b\bin\win64."
2,"Default",0,"agaprmtmsg.cpp",1420,12/06/2017 20:46:19,"ACEDESK3","sjones","STK/CON: Initializing STK/CON module."
2,"Default",0,"agaprmtmsg.cpp",1635,12/06/2017 20:46:19,"ACEDESK3","sjones","STK/CON: Accepting connection requests"
3,"Default",0,"iaguipluginsiteimpl.hpp",50,12/06/2017 20:46:19,"ACEDESK3","sjones","QualNet Interface:  Unable to find registry information or the QUALNET_HOME environment variable for the QualNet install."
1,"Default",0,"iaguipluginsiteimpl.hpp",50,12/06/2017 20:46:19,"ACEDESK3","sjones","QualNet Interface:  Loading QualNet UI xml files from ""C:\Program Files\AGI\STK 11\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"iaguipluginsiteimpl.hpp",50,12/06/2017 20:46:20,"ACEDESK3","sjones","QualNet Interface:  The executable (qualnet.exe) could not be found in the install location.  Make sure there is a valid install of QualNet on the current machine."
1,"Default",0,"",0,12/06/2017 20:46:20,"ACEDESK3","sjones","Version 11.3.0 of STK is now available online."
1,"MsgWnd",1,"",0,12/06/2017 20:46:27,"ACEDESK3","sjones","Shaders not supported by current video driver.  Sun lighting and some imagery types are not supported for all map projections."
1,"MsgWnd",1,"",0,12/06/2017 20:46:27,"ACEDESK3","sjones","Frame buffer objects not supported by current video driver.  Imagery on perspective and orthographic projections are not supported."
