 id  |         list          |                           description                           
 131 | mol_COF2_val          | COF2 (Carbonyl fluoride) validation
 127 | mol_H217O_val         | H217O validation
 132 | mol_ClONO2_val        | ClONO2 (Chlorine nitrate) validation
 133 | mol_H218O_val         | H218O validation
 134 | mol_H2CO_val          | H2CO (Formaldehyde) validation
 135 | mol_H2O2_val          | H2O2 (Hydrogen peroxide) validation
 136 | mol_H2O_val           | H2O (Water) validation
 137 | mol_HCl_val           | HCl (Hydrogen chloride) validation
 138 | mol_HCN_val           | HCN (Hydrogen cyanide) validation
 139 | mol_HCOOH_val         | HCOOH (Formic acid) validation
 140 | mol_HDO_val           | HDO (Semiheavy water) validation
 141 | mol_HF_val            | HF (Hydrogen fluoride) validation
 142 | mol_HNO3_val          | HNO3 (Nitric acid) validation
 143 | mol_HNO4_val          | HNO4 (Peroxynitric acid) validation
 144 | mol_HO2NO2_val        | HO2NO2 (Peroxynitric acid) validation
 145 | mol_HOCl_val          | HOCl (Hypochlorous acid) validation
 146 | mol_N15NO_val         | N15NO validation
 147 | mol_N218O_val         | N218O validation
 148 | mol_N2_val            | N2 (Nitrogen) validation
 149 | mol_N2O5_val          | N2O5 (Dinitrogen pentoxide) validation
 150 | mol_N2O_val           | N2O (Nitrous oxide) validation
 151 | mol_N217O_val         | N217O validation
 152 | mol_T                 | Temperature
 153 | mol_C3H6O             | List of papers that refer to the molecule C3H6O
 154 | Clouds & Aerosols     | Publications with Clouds & Aerosols
 155 | v2.2 Temperature      | v2.2 Temperature Publications
 156 | v3.0 Temperature      | v3.0 Temperature Publications
(152 rows)

