"Time (EpSec)","Lat (deg)","Lon (deg)","Alt (km)","Azimuth (deg)","Elevation (deg)","Velocity (km/sec)"
1466.578,-14.041,-75.746,3.048000,340.692,-0.000,0.180056
1466.772,-14.041,-75.746,3.048000,338.692,0.000,0.180056
1466.965,-14.041,-75.746,3.048000,336.692,0.000,0.180056
1467.159,-14.040,-75.746,3.048000,334.692,0.000,0.180056
1467.353,-14.040,-75.746,3.048000,332.692,-0.000,0.180056
1467.547,-14.040,-75.747,3.048000,330.692,0.000,0.180056
1467.741,-14.039,-75.747,3.048000,328.692,-0.000,0.180056
1467.934,-14.039,-75.747,3.048000,326.701,0.000,0.180056
1812.759,-13.570,-76.062,3.048000,326.776,-0.000,0.180056
2157.585,-13.101,-76.375,3.048000,326.847,0.000,0.180056
2502.413,-12.631,-76.688,3.048000,326.917,-0.000,0.180056
2847.253,-12.161,-76.999,3.048000,326.983,0.000,0.180056

